date,consumption_kwh,device
2022-02-20 20:00:00-03:00,0.0992397542,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-20 21:00:00-03:00,0.0879718946,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-20 22:00:00-03:00,0.1025100367,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-20 23:00:00-03:00,0.1228122513,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-21 00:00:00-03:00,0.1632690241,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-21 01:00:00-03:00,0.164676213,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-21 02:00:00-03:00,0.1561187911,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-21 03:00:00-03:00,0.1720649798,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-21 04:00:00-03:00,0.1993044028,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-21 05:00:00-03:00,0.1620244047,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-21 06:00:00-03:00,0.1649643339,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-21 07:00:00-03:00,0.1027970886,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-21 08:00:00-03:00,0.1499357357,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-21 09:00:00-03:00,0.1517097328,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-21 10:00:00-03:00,0.1393996793,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-21 11:00:00-03:00,0.1823403877,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-21 12:00:00-03:00,0.2846974562,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-21 13:00:00-03:00,0.1987523351,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-21 14:00:00-03:00,0.1599796705,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-21 15:00:00-03:00,0.2471809152,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-21 16:00:00-03:00,0.1889833093,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-21 17:00:00-03:00,0.1533585499,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-21 18:00:00-03:00,0.1938962844,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-21 19:00:00-03:00,0.2334354715,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-21 20:00:00-03:00,0.2082074027,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-21 21:00:00-03:00,0.2230556456,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-21 22:00:00-03:00,0.2384767724,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-21 23:00:00-03:00,0.2300259499,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-22 00:00:00-03:00,0.226273313,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-22 01:00:00-03:00,0.2244205961,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-22 02:00:00-03:00,0.2638211059,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-22 03:00:00-03:00,0.2287843209,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-22 04:00:00-03:00,0.2274054329,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-22 05:00:00-03:00,0.1493382009,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-22 06:00:00-03:00,0.1018022264,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-22 07:00:00-03:00,0.0887442351,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-22 08:00:00-03:00,0.2014906135,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-22 09:00:00-03:00,0.1433258411,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-22 10:00:00-03:00,0.1361859958,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-22 11:00:00-03:00,0.1222878515,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-22 12:00:00-03:00,0.101195998,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-22 13:00:00-03:00,0.1589415491,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-22 14:00:00-03:00,0.1535186335,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-22 15:00:00-03:00,0.1218857956,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-22 16:00:00-03:00,0.1513406488,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-22 17:00:00-03:00,0.165720689,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-22 18:00:00-03:00,0.1777198361,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-22 19:00:00-03:00,0.2334151254,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-22 20:00:00-03:00,0.2306706144,a32ab0af-970c-11ec-9779-a463a116a9e2
2022-02-22 21:00:00-03:00,0.1820776518,a32ab0af-970c-11ec-9779-a463a116a9e2
